"","anterior dentation of pectoral fin spine size pectoral fin spine","dorsal cleithrum fused with pectoral fin spine","dorsal cleithrum separated from pectoral fin spine","dorsal cleithrum unfused from pectoral fin spine","dorsal fin spine 1 size pectoral fin spine","dorsal fin spine 2 decreased length pectoral fin spine","dorsal fin spine 2 increased length pectoral fin spine","pectoral fin spine and (part_of some male organism) elongated","pectoral fin spine and (part_of some male organism) shape and (not (elongated))","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine articulated with scapulocoracoid","pectoral fin spine attached to bony plate","pectoral fin spine banded","pectoral fin spine composition","pectoral fin spine curved","pectoral fin spine decreased curvature","pectoral fin spine decreased length","pectoral fin spine decreased size","pectoral fin spine increased curvature","pectoral fin spine increased length","pectoral fin spine increased size","pectoral fin spine low brightness","pectoral fin spine platelike","pectoral fin spine present","pectoral fin spine recurved","pectoral fin spine separated from bony plate","pectoral fin spine serrated","pectoral fin spine shape","pectoral fin spine size","pectoral fin spine size branched pectoral fin ray","pectoral fin spine size multicellular organism","pectoral fin spine straight","pectoral fin spine structure","pectoral fin spine texture","pectoral fin spine tightly articulated with scapulocoracoid","pectoral fin spine unpigmented","pectoral fin spine unserrated","posterior dentation of pectoral fin spine structure pectoral fin spine","ventral cleithrum fused with pectoral fin spine","ventral cleithrum separated from pectoral fin spine","ventral cleithrum unfused from pectoral fin spine"
"pectoral fin spine increased length",0.88,0.893569844789357,0.893569844789357,0.893569844789357,0.855042016806723,0.854771784232365,0.875789473684211,0,0,0,0,0.930337078651685,0.926174496644295,0.949425287356322,0.953917050691244,0.94954128440367,0.945454545454545,0.970114942528736,0.967592592592593,0.954337899543379,1,0.985981308411215,0.949425287356322,0.945205479452055,0.949425287356322,0.945205479452055,0.928251121076233,0.943052391799544,0.956120092378753,0.97196261682243,0.951945080091533,0.967441860465116,0.951724137931034,0.958333333333333,0.962790697674419,0.926174496644295,0.951724137931034,0.943052391799544,0.877777777777778,0.893569844789357,0.893569844789357,0.893569844789357
"pectoral fin spine increased size",0.891891891891892,0.90561797752809,0.90561797752809,0.90561797752809,0.865957446808511,0.853862212943633,0.871035940803383,0,0,0,0,0.943052391799544,0.938775510204082,0.962703962703963,0.967289719626168,0.962790697674419,0.95852534562212,0.965357967667437,0.981220657276995,0.967592592592593,0.985981308411215,1,0.962703962703963,0.958333333333333,0.962703962703963,0.958333333333333,0.940909090909091,0.956120092378753,0.969555035128806,0.985781990521327,0.965197215777262,0.981132075471698,0.965034965034965,0.971830985915493,0.976415094339623,0.938775510204082,0.965034965034965,0.956120092378753,0.88963963963964,0.90561797752809,0.90561797752809,0.90561797752809
"pectoral fin spine low brightness",0.887387387387387,0.905405405405405,0.905405405405405,0.905405405405405,0.861702127659574,0.841995841995842,0.847280334728033,0,0,0,0,0.942922374429224,0.938636363636364,0.971830985915493,0.967213114754098,0.962703962703963,0.949425287356322,0.947247706422018,0.962703962703963,0.949425287356322,0.949425287356322,0.962703962703963,1,0.958236658932715,0.962616822429907,0.958236658932715,0.940774487471526,0.956018518518518,0.969483568075117,0.976359338061466,0.956018518518518,0.971764705882353,0.964953271028037,0.971764705882353,0.976359338061466,0.938636363636364,0.964953271028037,0.956018518518518,0.889390519187359,0.905405405405405,0.905405405405405,0.905405405405405
"pectoral fin spine platelike",0.883668903803132,0.901565995525727,0.901565995525727,0.901565995525727,0.858350951374207,0.838842975206612,0.844074844074844,0,0,0,0,0.938775510204082,0.934537246049661,0.958236658932715,0.962790697674419,0.985915492957746,0.972222222222222,0.943052391799544,0.958333333333333,0.972222222222222,0.945205479452055,0.958333333333333,0.958236658932715,1,0.953703703703704,0.981308411214953,0.936651583710407,0.974418604651163,0.988207547169811,0.971830985915493,0.951724137931034,0.967289719626168,0.983568075117371,0.967289719626168,0.971830985915493,0.934537246049661,0.960556844547564,0.974418604651163,0.885650224215247,0.901565995525727,0.901565995525727,0.901565995525727
"pectoral fin spine present",0.88314606741573,0.901123595505618,0.901123595505618,0.901123595505618,0.857749469214437,0.841995841995842,0.847280334728033,0,0,0,0,0.938496583143508,0.934240362811791,0.962616822429907,0.962616822429907,0.958139534883721,0.949425287356322,0.947247706422018,0.962703962703963,0.949425287356322,0.949425287356322,0.962703962703963,0.962616822429907,0.953703703703704,1,0.953703703703704,0.936363636363636,0.951501154734411,0.964871194379391,0.971698113207547,0.951501154734411,0.967136150234742,0.96037296037296,0.967136150234742,0.971698113207547,0.934240362811791,0.96037296037296,0.951501154734411,0.885135135135135,0.901123595505618,0.901123595505618,0.901123595505618
"pectoral fin spine recurved",0.883668903803132,0.901565995525727,0.901565995525727,0.901565995525727,0.858350951374207,0.838842975206612,0.844074844074844,0,0,0,0,0.938775510204082,0.934537246049661,0.958236658932715,0.962790697674419,0.995283018867924,0.981395348837209,0.943052391799544,0.958333333333333,0.981395348837209,0.945205479452055,0.958333333333333,0.958236658932715,0.981308411214953,0.953703703703704,1,0.936651583710407,0.974418604651163,0.988207547169811,0.971830985915493,0.951724137931034,0.967289719626168,0.983568075117371,0.967289719626168,0.971830985915493,0.934537246049661,0.960556844547564,0.974418604651163,0.885650224215247,0.901565995525727,0.901565995525727,0.901565995525727
"pectoral fin spine separated from bony plate",0.868131868131868,0.889867841409692,0.894039735099338,0.889867841409692,0.844074844074844,0.82520325203252,0.830265848670757,0,0,0,0,0.939325842696629,0.988505747126437,0.940774487471526,0.963133640552995,0.940909090909091,0.928251121076233,0.926174496644295,0.940909090909091,0.928251121076233,0.928251121076233,0.940909090909091,0.940774487471526,0.936651583710407,0.936363636363636,0.936651583710407,1,0.934537246049661,0.947368421052632,0.953917050691244,0.934537246049661,0.94954128440367,0.943052391799544,0.967592592592593,0.953917050691244,0.935123042505593,0.960919540229885,0.934537246049661,0.874172185430464,0.889867841409692,0.894039735099338,0.889867841409692
"pectoral fin spine serrated",0.881696428571429,0.899553571428571,0.899553571428571,0.899553571428571,0.856540084388186,0.837113402061856,0.842323651452282,0,0,0,0,0.936651583710407,0.932432432432432,0.956018518518518,0.960556844547564,0.978971962616822,0.965437788018433,0.940909090909091,0.956120092378753,0.965437788018433,0.943052391799544,0.956120092378753,0.956018518518518,0.974418604651163,0.951501154734411,0.974418604651163,0.934537246049661,1,0.985882352941176,0.969555035128806,0.94954128440367,0.965034965034965,0.981264637002342,0.965034965034965,0.969555035128806,0.932432432432432,0.958333333333333,0.981351981351981,0.883668903803132,0.899553571428571,0.899553571428571,0.899553571428571
"pectoral fin spine shape",0.893665158371041,0.911764705882353,0.911764705882353,0.911764705882353,0.867521367521368,0.847599164926931,0.852941176470588,0,0,0,0,0.94954128440367,0.945205479452055,0.969483568075117,0.974117647058824,0.992890995260663,0.978971962616822,0.953917050691244,0.969555035128806,0.978971962616822,0.956120092378753,0.969555035128806,0.969483568075117,0.988207547169811,0.964871194379391,0.988207547169811,0.947368421052632,0.985882352941176,1,0.983372921615202,0.962790697674419,0.978723404255319,0.995249406175772,0.978723404255319,0.983372921615202,0.945205479452055,0.971830985915493,0.985882352941176,0.895691609977324,0.911764705882353,0.911764705882353,0.911764705882353
"pectoral fin spine size",0.904109589041096,0.917995444191344,0.917995444191344,0.917995444191344,0.877155172413793,0.856842105263158,0.86228813559322,0,0,0,0,0.956120092378753,0.951724137931034,0.976359338061466,0.981042654028436,0.976415094339623,0.962790697674419,0.96969696969697,0.985781990521327,0.962790697674419,0.97196261682243,0.985781990521327,0.976359338061466,0.971830985915493,0.971698113207547,0.971830985915493,0.953917050691244,0.969555035128806,0.983372921615202,1,0.978823529411765,0.995215311004785,0.978723404255319,0.985714285714286,0.990430622009569,0.951724137931034,0.978723404255319,0.969555035128806,0.901826484018265,0.917995444191344,0.917995444191344,0.917995444191344
"pectoral fin spine size branched pectoral fin ray",0.885906040268456,0.899553571428571,0.899553571428571,0.899553571428571,0.86046511627907,0.840909090909091,0.846153846153846,0,0,0,0,0.936651583710407,0.932432432432432,0.956018518518518,0.960556844547564,0.956120092378753,0.943052391799544,0.949771689497717,0.965197215777262,0.943052391799544,0.951945080091533,0.965197215777262,0.956018518518518,0.951724137931034,0.951501154734411,0.951724137931034,0.934537246049661,0.94954128440367,0.962790697674419,0.978823529411765,1,0.97423887587822,0.958333333333333,0.965034965034965,0.969555035128806,0.932432432432432,0.958333333333333,0.94954128440367,0.883668903803132,0.899553571428571,0.899553571428571,0.899553571428571
"pectoral fin spine size multicellular organism",0.9,0.913832199546485,0.913832199546485,0.913832199546485,0.873390557939914,0.853249475890985,0.858649789029536,0,0,0,0,0.951724137931034,0.947368421052632,0.971764705882353,0.976415094339623,0.971830985915493,0.958333333333333,0.965197215777262,0.981132075471698,0.958333333333333,0.967441860465116,0.981132075471698,0.971764705882353,0.967289719626168,0.967136150234742,0.967289719626168,0.94954128440367,0.965034965034965,0.978723404255319,0.995215311004785,0.97423887587822,1,0.974117647058824,0.981042654028436,0.985714285714286,0.947368421052632,0.974117647058824,0.965034965034965,0.897727272727273,0.913832199546485,0.913832199546485,0.913832199546485
"pectoral fin spine straight",0.88963963963964,0.907657657657658,0.907657657657658,0.907657657657658,0.863829787234043,0.844074844074844,0.849372384937239,0,0,0,0,0.945205479452055,0.940909090909091,0.964953271028037,0.969555035128806,0.988207547169811,0.974418604651163,0.94954128440367,0.965034965034965,0.974418604651163,0.951724137931034,0.965034965034965,0.964953271028037,0.983568075117371,0.96037296037296,0.983568075117371,0.943052391799544,0.981264637002342,0.995249406175772,0.978723404255319,0.958333333333333,0.974117647058824,1,0.974117647058824,0.978723404255319,0.940909090909091,0.967289719626168,0.981264637002342,0.891647855530474,0.907657657657658,0.907657657657658,0.907657657657658
"pectoral fin spine structure",0.895691609977324,0.918181818181818,0.918181818181818,0.918181818181818,0.869379014989293,0.849372384937239,0.854736842105263,0,0,0,0,0.969837587006961,0.965357967667437,0.971764705882353,0.995238095238095,0.971830985915493,0.958333333333333,0.956120092378753,0.971830985915493,0.958333333333333,0.958333333333333,0.971830985915493,0.971764705882353,0.967289719626168,0.967136150234742,0.967289719626168,0.967592592592593,0.965034965034965,0.978723404255319,0.985714285714286,0.965034965034965,0.981042654028436,0.974117647058824,1,0.985714285714286,0.965357967667437,0.992874109263658,0.965034965034965,0.902050113895216,0.918181818181818,0.918181818181818,0.918181818181818
"pectoral fin spine texture",0.899772209567198,0.917995444191344,0.917995444191344,0.917995444191344,0.873118279569893,0.852941176470588,0.858350951374207,0,0,0,0,0.956120092378753,0.951724137931034,0.976359338061466,0.981042654028436,0.976415094339623,0.962790697674419,0.960556844547564,0.976415094339623,0.962790697674419,0.962790697674419,0.976415094339623,0.976359338061466,0.971830985915493,0.971698113207547,0.971830985915493,0.953917050691244,0.969555035128806,0.983372921615202,0.990430622009569,0.969555035128806,0.985714285714286,0.978723404255319,0.985714285714286,1,0.951724137931034,0.978723404255319,0.969555035128806,0.901826484018265,0.917995444191344,0.917995444191344,0.917995444191344
"pectoral fin spine tightly articulated with scapulocoracoid",0.866228070175439,0.908888888888889,0.908888888888889,0.908888888888889,0.842323651452282,0.823529411764706,0.828571428571429,0,0,0,0,0.995381062355658,0.933035714285714,0.938636363636364,0.960919540229885,0.938775510204082,0.926174496644295,0.924107142857143,0.938775510204082,0.926174496644295,0.926174496644295,0.938775510204082,0.938636363636364,0.934537246049661,0.934240362811791,0.934537246049661,0.935123042505593,0.932432432432432,0.945205479452055,0.951724137931034,0.932432432432432,0.947368421052632,0.940909090909091,0.965357967667437,0.951724137931034,1,0.958715596330275,0.932432432432432,0.872246696035242,0.908888888888889,0.908888888888889,0.908888888888889
"pectoral fin spine unpigmented",0.88963963963964,0.91196388261851,0.91196388261851,0.91196388261851,0.863829787234043,0.844074844074844,0.849372384937239,0,0,0,0,0.963133640552995,0.958715596330275,0.964953271028037,0.988179669030733,0.965034965034965,0.951724137931034,0.94954128440367,0.965034965034965,0.951724137931034,0.951724137931034,0.965034965034965,0.964953271028037,0.960556844547564,0.96037296037296,0.960556844547564,0.960919540229885,0.958333333333333,0.971830985915493,0.978723404255319,0.958333333333333,0.974117647058824,0.967289719626168,0.992874109263658,0.978723404255319,0.958715596330275,1,0.958333333333333,0.895927601809955,0.91196388261851,0.91196388261851,0.91196388261851
