"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"634","Ictalurus dugesii","VTO_0061497","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1",NA,NA,"1","1",NA,"1",NA
"635","Ictalurus furcatus","VTO_0036223","t6abf9436-7a24-4b98-8447-177c6f39540e","0","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1",NA,NA,"1","1",NA,"1",NA
"636","Ictalurus lupus","VTO_0036220","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1",NA,NA,"1","1",NA,"1",NA
"637","Ictalurus meridionalis","VTO_0036219","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"638","Ictalurus mexicanus","VTO_0061498","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1",NA,NA,"1","1",NA,"1",NA
"639","Ictalurus pricei","VTO_0036218","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1",NA,NA,"1","1",NA,"1",NA
"640","Ictalurus punctatus","VTO_0036225","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1","1","1","1",NA,"1","1","1","0",NA,"1 and 0","1 and 0","1","1","1","1","1","1",NA,"1","1","1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1","1","1",NA,"1",NA,NA,"1","0","1 and 0","1",NA,"0","1","1",NA,"1",NA
"641","Ictalurus sp. (Fink and Fink 1981)","VTO_0061494","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1","1","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1 and 0","1 and 0","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","0",NA,"0","1",NA,NA,NA,"1",NA,NA,NA,NA,"1 and 0","0"
"642","Ictalurus sp. (Mo 1991)","VTO_0061496","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"643","Iheringichthys labrosus","VTO_0036352","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"644","Imparfinis borodini","VTO_0060996","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"645","Imparfinis guttatus","VTO_0060991","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"646","Imparfinis hollandi","VTO_0060992","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"647","Imparfinis microps","VTO_0060990","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"648","Imparfinis mirini","VTO_0035664","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"649","Imparfinis nemacheir","VTO_0061001","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"650","Imparfinis pristos","VTO_0060994","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"651","Imparfinis sp. A (Bockmann 1998)","VTO_0061002","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1",NA,NA,"1",NA,"1","1",NA,"0 and 1",NA,NA,NA,NA,"1",NA,NA
"652","Imparfinis sp. B (Bockmann 1998)","VTO_0060999","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1",NA,NA,"1",NA,"1","1",NA,"0 and 1",NA,NA,NA,NA,"1",NA,NA
"653","Imparfinis sp. cf. minutus (Bockman 1998)","VTO_0061006","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"654","Imparfinis sp. (de Pinna 1993)","VTO_0061003","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"655","Imparfinis sp. n. (Bockman 1998)","VTO_0060988","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"656","Imparfinis stictonotus","VTO_0035666","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"657","Isbrueckerichthys alipionis","VTO_0037156","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"658","Isbrueckerichthys duseni","VTO_0037157","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"659","Isorineloricaria spinosissma","VTO_0060029","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"660","Ituglanis metae","VTO_0061674","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0","0","1",NA,NA,"1",NA
"661","Ixinandria montebelloi","VTO_0037146","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"662","Ixinandria sp. (Britto 2003)","VTO_0059790","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"663","Ketengus typus","VTO_0035763","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"664","Kronichthys","VTO_0037176","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"665","Kronichthys sp. 1 (Armbruster 2004)","VTO_0060039","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"666","Kronichthys sp. 2 (Armbruster 2004)","VTO_0060040","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"667","Kryptopterus bicirrhis","VTO_0036142","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1","0","1","1","1","1","1","1","1","1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"668","Kryptopterus bleekeri","VTO_0061982","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"669","Kryptopterus cheveyi","VTO_0061979","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"670","Kryptopterus cryptopterus","VTO_0036144","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"671","Kryptopterus eugeneiatus","VTO_0061974","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"672","Kryptopterus limpok","VTO_0036143","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,"1","1",NA,"1",NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"673","Kryptopterus macrocephalus","VTO_0036138","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"674","Kryptopterus minor","VTO_0036141","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"675","Kryptopterus mononema","VTO_0061983","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"676","Kryptopterus palembangensis","VTO_0061984","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"677","Kryptopterus sabanus","VTO_0061972","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"678","Kryptopterus schilbeides","VTO_0036140","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"679","Lacantuniidae","VTO_0036092","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"680","Laides hexanema","VTO_0036182","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"681","Lamontichthys llanero","VTO_0060050","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"682","Lasiancistrus guacharote","VTO_0060312","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"683","Lasiancistrus sp. (Armbruster 2004)","VTO_0060311","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"684","Leiarius marmoratus","VTO_0036420","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"685","Leiarius pictus","VTO_0036421","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"686","Leiocassis doriae","VTO_0059494","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"687","Leiocassis hosii","VTO_0059487","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"688","Leiocassis micropogon","VTO_0035161","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"689","Leiocassis poecilopterus","VTO_0035165","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"690","Leiocassis saravacensis","VTO_0059495","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"691","Leiocassis similis","VTO_0059490","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"692","Leiocassis sp. (Mo 1991)","VTO_0059486","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"693","Leporacanthicus galaxias","VTO_0059914","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"1",NA,"1 and 0",NA,NA,NA,"1",NA
"694","Lepthoplosternum pectorale","VTO_0035448","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"695","Leptoancistrus canensis","VTO_0060155","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"1",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
